Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: https 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: 27018 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 192.168.0.4
Port: 51612 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 162.159.130.234
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: 51612 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 162.159.130.234
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: 51612 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 162.159.130.234
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 192.168.0.4
Port: 27018 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: 27018 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: 51612 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 162.159.130.234
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: 52609 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 162.159.130.234
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: 27018 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: 54760 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 162.159.134.234
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: 54760 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 162.159.134.234
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: 54760 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 162.159.134.234
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: 54760 	 Tipo: Generic 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 162.159.134.234
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:11 	 IP: 192.168.0.4
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:12 	 IP: 192.168.0.4
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:12 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:12 	 IP: 2800:150:14c:697:*
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:12 	 IP: 2800:150:14c:697:*
Port: 54760 	 Tipo: Generic 	 Fecha: 4/5/2022 	 Hora: 12:01:12 	 IP: 162.159.134.234
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:12 	 IP: 2800:150:14c:697:*
Port: 0x0000 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: fe80::e657:40ff:f*
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: 61229 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 162.159.135.234
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 2800:150:14c:697:*
Port: 50001 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 2800:150:14c:697:*
Port: https 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: https 	 Tipo: Generic 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 2800:150:14c:697:*
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: 50001 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 2800:150:14c:697:*
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:55 	 IP: 2800:150:14c:697:*
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 192.168.0.4
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 2800:150:14c:697:*
Port: 51612 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 162.159.130.234
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 2800:150:14c:697:*
Port: 51612 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 162.159.130.234
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 2800:150:14c:697:*
Port: 51612 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 162.159.130.234
Port: 51612 	 Tipo: Generic 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 162.159.130.234
Port: 51612 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 162.159.130.234
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 192.168.0.4
Port: domain 	 Tipo: Generic 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 2800:150:14c:697:*
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 2800:150:14c:697:*
Port: 51612 	 Tipo: Generic 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 162.159.130.234
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 192.168.0.4
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:02:56 	 IP: 2800:150:14c:697:*
