           SrcAddr        Dur   sMeanPktSz     SrcBytes       AckDat  SrcLoad  DstLoad   dMeanPktSz  Dport 
fe80::1d85:84de:a*   0.410787    84.000000          168     0.000000 1635.88* 0.000000     0.000000 hostm*
       192.168.0.2   0.410755    64.000000          128     0.000000 1246.48* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.424868    84.000000          168     0.000000 1581.66* 0.000000     0.000000 hostm*
       192.168.0.2   0.424844    64.000000          128     0.000000 1205.14* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.424622    84.000000          168     0.000000 1582.58* 0.000000     0.000000 hostm*
       192.168.0.2   0.424606    64.000000          128     0.000000 1205.82* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.424384    84.000000          168     0.000000 1583.47* 0.000000     0.000000 hostm*
       192.168.0.2   0.424366    64.000000          128     0.000000 1206.50* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.424165    84.000000          168     0.000000 1584.28* 0.000000     0.000000 hostm*
       192.168.0.2   0.424144    64.000000          128     0.000000 1207.13* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.410769    84.000000          168     0.000000 1635.95* 0.000000     0.000000 hostm*
       192.168.0.2   0.410742    64.000000          128     0.000000 1246.52* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.410546    84.000000          168     0.000000 1636.84* 0.000000     0.000000 hostm*
       192.168.0.2   0.410526    64.000000          128     0.000000 1247.18* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.410261    84.000000          168     0.000000 1637.98* 0.000000     0.000000 hostm*
       192.168.0.2   0.410233    64.000000          128     0.000000 1248.07* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.410004    84.000000          168     0.000000 1639.00* 0.000000     0.000000 hostm*
       192.168.0.2   0.410028    64.000000          128     0.000000 1248.69* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.424842    84.000000          168     0.000000 1581.76* 0.000000     0.000000 hostm*
       192.168.0.2   0.424821    64.000000          128     0.000000 1205.21* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.424659    84.000000          168     0.000000 1582.44* 0.000000     0.000000 hostm*
       192.168.0.2   0.424647    64.000000          128     0.000000 1205.70* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.422661    84.000000          168     0.000000 1589.92* 0.000000     0.000000 hostm*
       192.168.0.2   0.422608    64.000000          128     0.000000 1211.52* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.422300    84.000000          168     0.000000 1591.28* 0.000000     0.000000 hostm*
       192.168.0.2   0.422258    64.000000          128     0.000000 1212.52* 0.000000     0.000000 hostm*
                 0   1.036478     0.000000            0     0.000000 0.000000 0.000000     0.000000      1
