           SrcAddr        Dur   sMeanPktSz     SrcBytes       AckDat  SrcLoad  DstLoad   dMeanPktSz  Dport 
fe80::7c6e:f72:3f*   0.000000    90.000000           90     0.000000 0.000000 0.000000     0.000000 0x0000
2800:150:14c:697:*   0.046121    75.000000           75     0.000000 0.000000 0.000000    86.000000 https
     140.82.113.26   0.150774    70.000000          140     0.000000 3714.16* 0.000000    84.000000 52805
       192.168.0.4   1.991040   305.000000         1830     0.000000 6127.45* 0.000000     0.000000 54915
       192.168.0.4   1.651908   141.000000          423     0.000000 1365.69* 581.146*    60.000000 https
       192.168.0.1   0.999874    60.000000          120     0.000000 480.060* 0.000000     0.000000
       192.168.0.4   0.170149   123.000000          123     0.000000 0.000000 0.000000    60.000000 1119
fe80::ec21:dd26:e*   0.748363   150.000000          300     0.000000 1603.49* 0.000000     0.000000 0x0000
fe80::e657:40ff:f*   0.000082    86.000000           86     0.000000 0.000000 0.000000    86.000000 0x0000
       192.168.0.1   0.000000    60.000000           60     0.000000 0.000000 0.000000    60.000000
       192.168.0.4   0.000000   126.000000          126     0.000000 0.000000 0.000000     0.000000 27018
    185.197.24.245   4.980628   296.529968        64347     0.000000 102880.* 539.690*    84.000000 63853
   162.159.135.234   3.104719   217.000000          651     0.000000 1118.29* 309.206*    60.000000 61229
fe80::e657:40ff:f*   0.000000    86.000000           86     0.000000 0.000000 0.000000    86.000000 0x0000
fe80::e657:40ff:f*   2.999977   166.000000          332     0.000000 442.670* 0.000000     0.000000 0x0000
fe80::ec21:dd26:e*   3.238931   150.000000          600     0.000000 1111.47* 0.000000     0.000000 0x0000
fe80::e657:40ff:f*   0.000032    86.000000           86     0.000000 0.000000 0.000000    86.000000 0x0000
       192.168.0.4   4.003435   305.000000         3050     0.000000 5485.28* 0.000000     0.000000 54915
       192.168.0.4   0.000000   126.000000          126     0.000000 0.000000 0.000000     0.000000 27018
       192.168.0.1   0.000045    60.000000           60     0.000000 0.000000 0.000000    42.000000
2800:150:14c:697:*   0.202969    95.500000          191     0.000000 3783.82* 3704.99*    94.000000 https
fe80::e657:40ff:f*   0.000036    86.000000           86     0.000000 0.000000 0.000000    86.000000 0x0000
    185.197.24.245   4.994581   288.914429        54027     0.000000 86075.6* 56003.0*   291.363647 63853
   162.159.135.234   2.437152   255.750000         1023     0.000000 2520.97* 590.853*    60.000000 61229
       192.168.0.4   4.000029   305.000000         3050     0.000000 5489.95* 0.000000     0.000000 54915
fe80::e657:40ff:f*   3.000013   166.000000          332     0.000000 442.664* 0.000000     0.000000 0x0000
fe80::ec21:dd26:e*   3.739342   150.000000          600     0.000000 962.736* 0.000000     0.000000 0x0000
       192.168.0.4   3.999055   127.625000         1021     0.000000 1788.42* 930.219*    66.375000 https
fe80::1852:e3a5:c*   0.000000    90.000000           90     0.000000 0.000000 0.000000     0.000000 0x0000
    185.197.24.245   4.989654   272.794800       115665     0.000000 185011.* 56034.3*   249.631210 63853
       192.168.0.4   0.396656   126.000000          126     0.000000 0.000000 2541.24*   126.000000 27018
2800:150:14c:697:*   0.204499    95.500000          191     0.000000 3755.51* 3677.27*    94.000000 https
       192.168.0.4   0.020689    72.750000          291     0.000000 84682.6* 46401.4*    60.000000 https
       192.168.0.1   0.000000    60.000000           60     0.000000 0.000000 0.000000    60.000000
       192.168.0.4   3.994563   305.000000         3050     0.000000 5497.47* 0.000000     0.000000 54915
   162.159.135.234   4.760720   146.714279         1027     0.000000 1480.44* 436.908*    64.800003 61229
fe80::e657:40ff:f*   0.000156    86.000000           86     0.000000 0.000000 0.000000    78.000000 0x0000
2800:150:14c:697:*   0.014614    75.000000           75     0.000000 0.000000 0.000000    86.000000 https
fe80::e657:40ff:f*   3.000204   166.000000          332     0.000000 442.636* 0.000000     0.000000 0x0000
fe80::ec21:dd26:e*   3.116140   150.000000          600     0.000000 1155.27* 0.000000     0.000000 0x0000
       192.168.0.4   2.937563   141.000000         1128     0.000000 2687.94* 1143.80*    60.000000 https
       192.168.0.4   0.179111   123.000000          123     0.000000 0.000000 0.000000    60.000000 1119
     140.82.112.25   0.189755    69.500000          139     0.000000 2951.17* 0.000000    83.000000 62776
    185.197.24.245   4.971158   277.542114        52733     0.000000 84416.5* 63125.7*   278.197174 63853
2800:150:14c:697:*   0.016439    98.000000           98     0.000000 0.000000 0.000000   178.000000 domain
2800:150:14c:697:*   0.015309    98.000000           98     0.000000 0.000000 0.000000   160.000000 domain
       192.168.0.4   4.921758   204.000000         3060     0.000000 4642.24* 6854.46*   263.529419 https
2800:150:14c:697:*   0.271286   604.055542        10873     0.000000 302824.* 683883.*   966.280029 443
       192.168.0.4   4.996303   305.000000         3660     0.000000 5371.97* 0.000000     0.000000 54915
       192.168.0.4   1.431597   102.000000          204     0.000000 569.992* 0.000000   158.000000 27018
fe80::e657:40ff:f*   2.999957   166.000000          332     0.000000 442.673* 0.000000     0.000000 0x0000
fe80::ec21:dd26:e*   3.608547   150.000000          600     0.000000 997.631* 0.000000     0.000000 0x0000
       192.168.0.4   4.998139   127.625000         1021     0.000000 1430.93* 646.640*    67.285713 https
       192.168.0.1   0.000076    60.000000           60     0.000000 0.000000 0.000000    60.000000
       192.168.0.4   0.215878    74.500000          149     0.000000 2779.34* 2705.23*    72.500000 https
    185.197.24.245   4.570863   259.487793        21278     0.000000 36787.8* 110625.*   295.358154 63853
       192.168.0.4   4.662026    60.000000          360     0.000000 514.797* 2026.58*   236.166672 https
       192.168.0.4   3.348985   138.333328          415     0.000000 661.693* 587.640*   123.000000 https
